,Unnamed: 0,CatchId,Stage,Number of Cells,SurfaceArea (m2),BedArea (m2),Volume (m3),SLOPE,LENGTHKM,AREASQKM,Roughness,TopWidth (m),WettedPerimeter (m),WetArea (m2),HydraulicRadius (m),Discharge (m3s-1)
4978257,730151,8783531,0.0,302,25961.374469,10300243.316637,0.0,0.00276833,1.882,2.1276,0.05,13.794566667906482,5473.030455173752,0.0,0.0,0.0
4978258,730152,8783531,0.3048,471,40488.280676999995,10314771.209047,11116.999295,0.00276833,1.882,2.1276,0.05,21.513432878320938,5480.7498454022325,5.907013440488842,0.001077774685419,0.0653419669174131
4978259,730153,8783531,0.6096,728,62579.554059,10336869.503876,25878.095411,0.00276833,1.882,2.1276,0.05,33.25162277311371,5492.491766140276,13.750316371413392,0.0025034750996224,0.2667762314517851
4978260,730154,8783531,0.9144,1088,93524.58087,10367835.367751,50193.929681,0.00276833,1.882,2.1276,0.05,49.694251259298625,5508.945466392667,26.670525866631245,0.0048413123762678,0.8031794245827462
4978261,730155,8783531,1.2192,1212,104183.355414,10378504.812734,80437.50407000001,0.00276833,1.882,2.1276,0.05,55.3577871487779,5514.61467201594,42.740437869288,0.0077503942544119,1.7614098574688009
4978262,730156,8783531,1.524,1296,111403.792242,10385735.486121,113385.157258,0.00276833,1.882,2.1276,0.05,59.19436357173221,5518.456687630713,60.247161136025504,0.0109173931311386,3.1200015692554226
4978263,730157,8783531,1.8288,1386,119139.996259,10393487.187004,148605.313577,0.00276833,1.882,2.1276,0.05,63.30499269872476,5522.57555101169,78.96137809617429,0.0142979262785656,4.894808215139636
4978264,730158,8783531,2.1336,1475,126790.191762,10401154.442698,186128.986546,0.00276833,1.882,2.1276,0.05,67.36992123379383,5526.649544472901,98.89956777151968,0.0178950315151477,7.120136132972064
4978265,730159,8783531,2.4384,1563,134354.455974,10408739.816356,226036.990744,0.00276833,1.882,2.1276,0.05,71.38919020935175,5530.6800299447395,120.10467095855472,0.0217160765598936,9.837537458832848
4978266,730160,8783531,2.7432,1646,141488.919849,10415889.488045,268018.385328,0.00276833,1.882,2.1276,0.05,75.1800849357067,5534.479005337407,142.41146935600426,0.02573168481056,13.061589821415984
4978267,730161,8783531,3.048,1709,146904.25791500002,10421317.724618,311947.052208,0.00276833,1.882,2.1276,0.05,78.05752280286931,5537.363296821467,165.75295016365567,0.0299335516343672,16.815341496464384
